*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=zipino
*Date=17:16:19
*CreatedBy=Fritzing 0.9.10b.2022-07-01.CD-2134-0-40d23c29
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;59.8424;-23.0688;0;Bottom;Copper Fill14
2;47É F;0605 [SMD, electrolytic];21.9379;-5.47989;0;Top;C12
3;;;23.7998;-34.8671;0;Bottom;Copper Fill3
4;;;3.63021;-18.9631;0;Bottom;TXT2
5;;;53.467;-24.0467;0;Bottom;Copper Fill7
6;;;31.623;-21.1257;0;Bottom;Copper Fill10
7;;;51.5004;-10.8504;0;Bottom;Via37
8;;;47.6159;-29.4546;0;Bottom;Hole7
9;;;20.5994;-37.5849;0;Bottom;Copper Fill44
10;;;25.8467;-36.5044;0;Bottom;Via33
11;;;4.65864;-43.3778;0;Bottom;TXT2
12;10k;0603 [SMD];27.2961;-22.9968;180;Top;R7
13;;;3.35137;-8.80223;0;Bottom;TXT2
14;;;44.6151;-2.25349;0;Bottom;Copper Fill91
15;;;28.348;-25.7753;0;Bottom;TXT3
16;100nF;0603 [SMD, multilayer];49.3204;-17.0347;180;Top;C7
17;;;11.0998;-48.2656;0;Bottom;Copper Fill82
18;;;11.3735;-25.0788;0;Bottom;Via58
19;;THT;6.569;-39.5525;0;Bottom;J3
20;;;46.9284;-10.5964;0;Bottom;Via80
21;;;34.2336;-22.0308;0;Bottom;Via98
22;;;4.06202;-33.2185;0;Bottom;TXT2
23;;;25.8467;-34.9804;0;Bottom;Via26
24;;;12.4206;-26.2565;0;Bottom;Copper Fill52
25;;ptc-1812;61.6656;-10.4992;90;Top;F1
26;;;11.0236;-39.0327;0;Bottom;Copper Fill42
27;;;18.8214;-43.0459;0;Bottom;Copper Fill39
28;;;43.6264;-23.1669;0;Bottom;Via8
29;;;39.3087;-14.6604;0;Bottom;Via1
30;;;57.5962;-26.8329;0;Bottom;TXT2
31;;;17.4371;-48.7228;0;Bottom;Copper Fill24
32;;;57.0936;-10.0928;0;Bottom;Via102
33;;ssop28db;41.6611;-15.5308;0;Top;U2
34;;;20.2692;-43.9603;0;Bottom;Copper Fill38
35;;;54.5536;-10.3468;0;Bottom;Via45
36;;;26.4922;-24.8849;0;Bottom;Copper Fill53
37;;;45.9176;-8.06078;0;Bottom;Via81
38;;;9.271;-18.1285;0;Bottom;Copper Fill62
39;;;17.4371;-48.7228;0;Bottom;Copper Fill86
40;;;23.3067;-32.6944;0;Bottom;Via17
41;;;57.5967;-29.3764;0;Bottom;TXT2
42;;;24.9112;-42.8723;0;Bottom;TXT7
43;;;22.5044;-16.3759;0;Bottom;Copper Fill55
44;;;46.9591;-20.0896;0;Bottom;Via40
45;;;22.225;-16.6299;0;Bottom;Copper Fill65
46;;;61.5381;-52.4833;0;Bottom;Hole2
47;;THT;54.8273;-21.7724;0;Bottom;J2
48;1k;0603 [SMD];22.9781;-20.4568;0;Top;R4
49;;;41.3404;-5.51641;0;Bottom;Via79
50;;;57.5959;-31.9208;0;Bottom;TXT2
51;100nF;0603 [SMD, multilayer];22.9002;-12.8368;180;Top;C4
52;;;27.5421;-28.2122;0;Bottom;TXT6
53;;;48.3616;-17.6967;0;Bottom;Copper Fill63
54;;;3.49489;-3.48429;0;Bottom;Hole3
55;;tactile-switch-1101ne;60.6496;-38.8968;-90;Top;S1
56;;;24.6071;-11.4535;0;Bottom;Via2
57;;;15.7988;-37.1785;0;Bottom;Copper Fill45
58;;;24.5816;-24.8994;0;Bottom;Via64
59;;;57.1568;-43.3749;0;Bottom;TXT2
60;;;22.4917;-3.25679;0;Bottom;Copper Fill29
61;100nF;0603 [SMD, multilayer];49.4113;-14.5722;0;Top;C3
62;30mA;0603 [SMD];27.2182;-20.4568;180;Top;LED1
63;;;9.84438;-8.81839;0;Bottom;Via15
64;;;18.4277;-48.7228;0;Bottom;Copper Fill87
65;;;57.1556;-48.4593;0;Bottom;TXT2
